NETWORK DATA - Epoca 2 - Neuronios 100 - Erro 1,6884777694179948E-05 - Tempo Execucao 0,0031526 [s].

Pat:	Entrada 1	Entrada 2	Alvo 1	Saida 1	
1	1	1	0	0,0031915684945565096	
2	1	0	0	0,9970614118597433	
3	0	1	0	0,9970910653301964	
4	0	0	0	0,0025605289708238604	
